EGHQ-O,ETC-C,EAC-B,3T-3,3T-2,3T-1,EGHQ
0:00,,0:10,0:18,0:20,0:22,0:32
1:20,,0:30,0:38,0:40,0:42,0:52
0:40,,0:50,0:58,1:00,1:02,1:12
1:00,,1:10,1:18,1:20,1:22,1:32
1:20,,1:30,1:38,1:40,1:42,1:52
1:45,,1:55,2:03,2:05,2:07,2:17
2:10,,2:20,2:28,2:30,2:32,2:42
2:35,,2:45,2:53,2:55,2:57,3:07
3:05,,3:15,3:23,3:25,3:27,3:37
3:35,,3:45,3:53,3:55,3:57,4:07
4:05,,4:15,4:23,4:25,4:27,4:37
4:35,,4:45,4:53,4:55,4:57,5:07
4:55,,5:05,5:13,5:15,5:17,5:27
5:15,,5:25,5:33,5:35,5:37,5:47
5:35,,5:45,5:53,5:55,5:57,6:07
5:55,6:05,6:07,6:15,6:17,6:19,6:29
6:15,6:25,6:27,6:35,6:37,6:39,6:49
6:40,6:50,6:53,7:01,7:03,7:05,7:15
7:00,7:10,7:13,7:21,7:23,7:25,7:35
7:25,7:35,7:38,7:46,7:48,7:50,8:00
7:45,7:55,7:58,8:06,8:08,8:10,8:20
8:10,8:20,8:23,8:31,8:33,8:35,8:45
8:35,8:45,8:48,8:56,8:58,9:00,9:10
9:00,9:10,9:13,9:21,9:23,9:25,9:35
9:30,9:40,9:43,9:51,9:53,9:55,10:05
10:00,10:10,10:13,10:21,10:23,10:25,10:35
10:30,10:40,10:43,10:51,10:53,10:55,11:05
10:55,11:05,11:08,11:16,11:18,11:20,11:30
11:15,11:25,11:28,11:36,11:38,11:40,11:50
11:40,11:50,11:53,12:01,12:03,12:05,12:15
12:00,12:10,12:13,12:21,12:23,12:25,12:35
12:25,12:35,12:38,0:00,0:00,12:50,13:00
12:50,13:00,13:03,13:11,13:13,13:15,13:25
13:15,13:25,13:28,13:36,13:38,13:40,13:50
13:45,13:55,13:58,14:06,14:08,14:10,14:20
14:10,14:20,14:23,14:31,14:33,14:35,14:45
14:40,14:50,14:53,15:01,15:03,15:05,15:15
15:10,15:20,15:23,15:31,15:33,0:00,15:45
15:40,15:50,15:53,16:01,16:03,16:05,16:15
16:05,16:15,16:18,16:26,16:28,16:30,16:40
16:35,16:45,16:48,16:56,16:58,17:00,17:10
17:00,17:10,17:13,17:21,17:23,17:25,17:35
17:25,17:35,17:38,17:46,17:48,17:50,18:00
17:50,18:00,18:03,18:11,18:13,18:15,0:00
18:15,18:25,18:28,18:36,18:38,18:40,18:50
18:40,18:50,18:53,19:01,19:03,19:05,19:15
19:10,19:20,19:23,19:31,19:33,19:35,19:45
19:40,19:50,19:53,20:01,20:03,20:05,20:15
20:10,20:20,20:23,20:31,20:33,20:35,20:45
20:40,20:50,20:53,21:01,21:03,21:05,21:15
21:00,21:20,21:23,21:31,21:33,21:35,21:45
21:40,21:50,21:53,22:01,22:03,22:05,22:15
22:10,22:20,22:23,22:31,22:33,22:35,22:45
22:40,22:50,22:53,23:01,23:03,23:05,23:15
23:10,23:20,23:20,23:28,23:30,23:32,23:42
23:40,23:50,23:50,23:58,0:00,0:02,0:12
